Index,Weight(Pounds)
1,112.9925
2,136.4873
3,153.0269
4,142.3354
5,144.2971
6,123.3024
7,141.4947
8,136.4623
9,112.3723
10,120.6672
11,127.4516
12,114.143
13,125.6107
14,122.4618
15,116.0866
16,139.9975
17,129.5023
18,142.9733
19,137.9025
20,124.0449
21,141.2807
22,143.5392
23,97.90191
24,129.5027
25,141.8501
26,129.7244
27,142.4235
28,131.5502
29,108.3324
30,113.8922
31,103.3016
32,120.7536
33,125.7886
34,136.2225
35,140.1015
36,128.7487
37,141.7994
38,121.2319
39,131.3478
40,106.7115
41,124.3598
42,124.8591
43,139.6711
44,137.3696
45,106.4499
46,128.7639
47,145.6837
48,116.819
49,143.6215
50,134.9325
51,147.0219
52,126.3285
53,125.4839
54,115.7084
55,123.4892
56,147.8926
57,155.8987
58,128.0742
59,119.3701
60,133.8148
61,128.7325
62,137.5453
63,129.7604
64,128.824
65,135.3165
66,109.6113
67,142.4684
68,132.749
69,103.5275
70,124.7299
71,129.3137
72,134.0175
73,140.3969
74,102.8351
75,128.5214
76,120.2991
77,138.6036
78,132.9574
79,115.6233
80,122.524
81,134.6254
82,121.8986
83,155.3767
84,128.9418
85,129.1013
86,139.4733
87,140.8901
88,131.5916
89,121.1232
90,131.5127
91,136.5479
92,141.4896
93,140.6104
94,112.1413
95,133.457
96,131.8001
97,120.0285
98,123.0972
99,128.1432
100,115.4759
101,102.0927
102,130.353
103,134.1842
104,98.64133
105,114.5599
106,123.4917
107,123.048
108,126.4772
109,128.417
110,127.1941
111,122.0562
112,127.6064
113,131.6423
114,111.8955
115,122.039
116,128.5547
117,132.6792
118,136.0632
119,115.9403
120,136.9041
121,119.8804
122,109.0055
123,128.2705
124,135.2913
125,106.8558
126,123.2939
127,109.5143
128,119.3087
129,140.2402
130,133.9841
131,132.5807
132,130.6988
133,115.5637
134,123.7941
135,128.1427
136,135.9646
137,116.6273
138,126.8241
139,151.3913
140,130.4022
141,136.2068
142,113.3989
143,125.3287
144,127.5846
145,107.1564
146,116.4588
147,133.8402
148,112.8901
149,130.7568
150,137.7571
151,125.4036
152,138.4659
153,120.8184
154,140.1539
155,136.7397
156,106.1139
157,158.9562
158,108.7868
159,138.7758
160,115.9136
161,146.2922
162,109.8765
163,139.0499
164,119.9001
165,128.3069
166,127.2428
167,115.2306
168,124.7975
169,126.9511
170,111.2711
171,122.6089
172,124.2084
173,124.6453
174,119.5169
175,139.2983
176,104.8265
177,123.0424
178,118.8923
179,121.4939
180,119.2488
181,135.0239
182,116.228
183,109.1731
184,124.2237
185,141.1645
186,129.1501
187,127.8693
188,120.9244
189,127.6466
190,101.4693
191,144.9927
192,110.9523
193,132.8625
194,146.3385
195,145.5894
196,120.8431
197,115.7813
198,128.3019
199,127.4718
200,127.8761
201,121.4997
202,112.7148
203,135.002
204,128.6789
205,124.4062
206,140.026
207,117.519
208,143.8737
209,141.1703
210,155.9414
211,134.0093
212,130.0975
213,106.2265
214,112.0489
215,136.1884
216,131.236
217,131.3231
218,119.5261
219,116.9965
220,138.5255
221,109.6518
222,130.1569
223,137.1114
224,113.759
225,114.9725
226,127.7149
227,121.9972
228,117.9607
229,127.7141
230,117.9619
231,125.1554
232,141.1026
233,145.4822
234,116.065
235,135.7458
236,132.9248
237,115.6622
238,114.3184
239,148.952
240,142.1878
241,134.104
242,141.8926
243,138.7444
244,134.449
245,117.0167
246,115.6752
247,134.7905
248,120.5746
249,120.0835
250,84.3598
251,138.9394
252,143.5245
253,123.1347
254,115.5261
255,120.9844
256,120.6473
257,124.0352
258,117.2238
259,127.9598
260,116.7527
261,121.9957
262,123.9952
263,108.855
264,104.6574
265,132.248
266,127.1834
267,125.1209
268,133.322
269,122.3364
270,130.2636
271,116.7431
272,125.8534
273,100.627
274,118.4945
275,137.1255
276,118.6991
277,124.1641
278,124.9442
279,126.3889
280,121.5255
281,133.2951
282,127.4072
283,125.08
284,102.8114
285,134.2212
286,100.9758
287,145.8886
288,155.3046
289,138.7175
290,116.2611
291,120.6087
292,114.4083
293,133.3406
294,92.74955
295,131.7825
296,118.3865
297,131.1466
298,130.2033
299,129.1836
300,143.1445
301,138.7307
302,130.9528
303,124.3032
304,135.3702
305,124.1988
306,111.2389
307,129.4037
308,127.7444
309,121.3311
310,118.2183
311,123.3441
312,151.9118
313,115.3108
314,122.3844
315,129.2323
316,138.2824
317,144.0565
318,120.8482
319,113.3034
320,149.3227
321,130.6373
322,122.387
323,133.8677
324,134.8336
325,137.8363
326,112.6812
327,121.1964
328,114.9262
329,110.3762
330,126.0337
331,118.7008
332,119.3108
333,150.7397
334,121.1142
335,118.4065
336,142.759
337,145.6305
338,127.3425
339,115.9678
340,104.4441
341,138.4905
342,145.5049
343,124.4065
344,124.1866
345,126.1659
346,138.8125
347,121.5515
348,114.2555
349,129.4022
350,137.5583
351,134.4996
352,127.7103
353,115.6709
354,131.5906
355,127.5839
356,125.7211
357,119.9885
358,140.8676
359,136.9164
360,118.4759
361,129.5516
362,152.0714
363,120.8646
364,136.1027
365,130.0611
366,131.7743
367,139.38
368,168.229
369,127.6446
370,131.8008
371,122.8561
372,140.2133
373,142.6929
374,137.4299
375,126.0392
376,143.5985
377,122.62
378,108.6044
379,100.6617
380,116.1397
381,140.5293
382,125.6907
383,134.3329
384,136.4649
385,127.8822
386,123.1361
387,116.3375
388,124.5581
389,125.7853
390,107.5905
391,143.0236
392,118.7434
393,118.9856
394,131.8744
395,119.3691
396,126.1223
397,126.6122
398,113.5597
399,115.8413
400,130.2738
401,125.4542
402,117.1655
403,137.3184
404,149.4447
405,151.0695
406,116.9994
407,138.1787
408,127.621
409,120.7514
410,144.2537
411,105.7939
412,120.1567
413,109.0848
414,125.971
415,110.2325
416,134.4706
417,115.5067
418,125.1086
419,116.4113
420,133.3944
421,108.7478
422,134.3986
423,131.2085
424,130.8318
425,127.0838
426,119.4067
427,105.5616
428,134.4733
429,132.6897
430,126.058
431,126.3532
432,142.3603
433,124.5873
434,122.3604
435,123.2298
436,131.4049
437,124.3037
438,128.3836
439,136.853
440,118.0569
441,121.4969
442,119.2811
443,126.5545
444,129.2477
